
INFO flower 2022-03-17 19:02:03,226 | app.py:77 | Flower server running (insecure, 5 rounds)
INFO flower 2022-03-17 19:02:03,226 | server.py:118 | Initializing global parameters
INFO flower 2022-03-17 19:02:03,226 | server.py:300 | Using initial parameters provided by strategy
INFO flower 2022-03-17 19:02:03,226 | server.py:120 | Evaluating initial parameters
INFO flower 2022-03-17 19:02:03,226 | server.py:133 | FL starting
DEBUG flower 2022-03-17 19:02:06,266 | server.py:251 | fit_round: strategy sampled 5 clients (out of 5)
DEBUG flower 2022-03-17 19:07:02,266 | server.py:260 | fit_round received 5 results and 0 failures
DEBUG flower 2022-03-17 19:07:02,302 | server.py:201 | evaluate_round: strategy sampled 5 clients (out of 5)
DEBUG flower 2022-03-17 19:07:09,137 | server.py:210 | evaluate_round received 5 results and 0 failures
DEBUG flower 2022-03-17 19:07:09,137 | server.py:251 | fit_round: strategy sampled 5 clients (out of 5)
DEBUG flower 2022-03-17 19:11:50,791 | server.py:260 | fit_round received 5 results and 0 failures
DEBUG flower 2022-03-17 19:11:50,817 | server.py:201 | evaluate_round: strategy sampled 5 clients (out of 5)
DEBUG flower 2022-03-17 19:11:57,434 | server.py:210 | evaluate_round received 5 results and 0 failures
DEBUG flower 2022-03-17 19:11:57,435 | server.py:251 | fit_round: strategy sampled 5 clients (out of 5)
DEBUG flower 2022-03-17 19:16:37,724 | server.py:260 | fit_round received 5 results and 0 failures
DEBUG flower 2022-03-17 19:16:37,751 | server.py:201 | evaluate_round: strategy sampled 5 clients (out of 5)
DEBUG flower 2022-03-17 19:16:43,909 | server.py:210 | evaluate_round received 5 results and 0 failures
DEBUG flower 2022-03-17 19:16:43,909 | server.py:251 | fit_round: strategy sampled 5 clients (out of 5)
DEBUG flower 2022-03-17 19:21:19,210 | server.py:260 | fit_round received 5 results and 0 failures
DEBUG flower 2022-03-17 19:21:19,234 | server.py:201 | evaluate_round: strategy sampled 5 clients (out of 5)
DEBUG flower 2022-03-17 19:21:25,651 | server.py:210 | evaluate_round received 5 results and 0 failures
DEBUG flower 2022-03-17 19:21:25,651 | server.py:251 | fit_round: strategy sampled 5 clients (out of 5)
DEBUG flower 2022-03-17 19:26:00,250 | server.py:260 | fit_round received 5 results and 0 failures
DEBUG flower 2022-03-17 19:26:00,278 | server.py:201 | evaluate_round: strategy sampled 5 clients (out of 5)
DEBUG flower 2022-03-17 19:26:06,648 | server.py:210 | evaluate_round received 5 results and 0 failures
INFO flower 2022-03-17 19:26:06,648 | server.py:172 | FL finished in 1443.4219739389991
INFO flower 2022-03-17 19:26:06,649 | app.py:119 | app_fit: losses_distributed [(1, 1.333407734310627), (2, 0.6298855957329274), (3, 0.4405655631005764), (4, 0.3672711376935244), (5, 0.3275795889288187)]
INFO flower 2022-03-17 19:26:06,649 | app.py:120 | app_fit: metrics_distributed {}
INFO flower 2022-03-17 19:26:06,649 | app.py:121 | app_fit: losses_centralized []
INFO flower 2022-03-17 19:26:06,649 | app.py:122 | app_fit: metrics_centralized {}

